SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4111907,0,0,0,0,0,0,0,0,0,9,3,0,12,0,0,0,10,7,0,23
4111908,0,0,0,0,0,0,0,0,0,3,4,0,8,0,0,0,8,6,0,20
4111909,0,0,0,0,0,0,0,0,0,7,7,3,17,0,0,0,16,15,0,32
4111910,0,0,0,0,0,0,4,0,4,6,7,0,14,0,0,0,14,17,0,32
4111911,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,6,13,0,19
4111912,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,11,0,10
4111913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
4111914,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,8,3,0,10
4111915,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,10,4,0,14
4111916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,14
4111917,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,8,8,0,19
4111918,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,3
4111919,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,3,0,0,3
4111920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
4111921,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,12,3,0,15
4111922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
4111923,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,6,10,0,15
4111924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9
4111925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4111926,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,3,0,7
4111927,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,11,9,0,16
4112001,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,6
4112002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4112003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
4112004,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5
4112005,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
4112006,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,8
4112007,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,10,0,12
4112008,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,3,0,7
4112009,0,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,11,5,0,13
4112010,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,5
4112011,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,5,0,0,8
4112012,0,0,0,0,0,0,0,0,0,5,7,0,13,0,0,3,13,12,0,22
4112013,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,7,3,0,10
4112014,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,3
4112015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
